favorited,favoriteCount,replyToSN,created,,,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted
FALSE,0,royret,16-09-2021 06:44,,,1.43839E+018,75064011,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",royret,0,FALSE,FALSE
FALSE,0,NA,15-09-2021 23:52,,,1.43829E+018,NA,"<a href=""https://www.tweetsuite.com/"" rel=""nofollow"">Tweet Suite</a>",RevolutionsCen,0,FALSE,FALSE
FALSE,0,NA,15-09-2021 19:00,,,1.43822E+018,NA,"<a href=""https://www.tweetsuite.com/"" rel=""nofollow"">Tweet Suite</a>",TopMostShop,0,FALSE,FALSE
FALSE,0,NA,15-09-2021 14:15,,,1.43814E+018,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",iyerraman75,0,FALSE,FALSE
FALSE,4,suri0000712,15-09-2021 11:00,,,1.4381E+018,298475248,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",_vksingh_,0,FALSE,FALSE
FALSE,0,NA,15-09-2021 07:44,,,1.43805E+018,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",PriyaAg74096656,1292,TRUE,FALSE
FALSE,0,NA,15-09-2021 07:40,,,1.43805E+018,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",PriyaAg74096656,1814,TRUE,FALSE
FALSE,0,Rickyrajkumar,15-09-2021 02:52,,,1.43797E+018,17800259,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RebelloAnil,0,FALSE,FALSE
FALSE,0,NA,15-09-2021 00:44,,,1.43794E+018,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",AshishG78849401,8,TRUE,FALSE
FALSE,0,NA,14-09-2021 21:11,,,1.43789E+018,NA,"<a href=""https://www.tweetsuite.com/"" rel=""nofollow"">Tweet Suite</a>",TopMostShop,0,FALSE,FALSE
FALSE,0,NA,14-09-2021 20:41,,,1.43788E+018,NA,"<a href=""https://www.tweetsuite.com/"" rel=""nofollow"">Tweet Suite</a>",ModernWorldCen,0,FALSE,FALSE
FALSE,0,NA,14-09-2021 19:16,,,1.43786E+018,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",DiveshNandwani,8,TRUE,FALSE
FALSE,0,NA,14-09-2021 16:08,,,1.43781E+018,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",roohk1234,3,TRUE,FALSE
FALSE,47,NA,14-09-2021 16:02,,,1.43781E+018,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",TheLallantop,3,FALSE,FALSE
FALSE,0,NA,14-09-2021 14:33,,,1.43779E+018,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",SrikanthIyer10,8,TRUE,FALSE
FALSE,0,chitraaum,14-09-2021 11:57,,,1.43775E+018,2957682932,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",SandeepPersona,0,FALSE,FALSE
FALSE,0,ResearchWright,14-09-2021 08:23,,,1.43769E+018,1.17098E+018,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",ResearchWright,0,FALSE,FALSE
FALSE,0,NA,14-09-2021 08:11,,,1.43769E+018,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",RamKuma11227417,3,TRUE,FALSE
FALSE,0,NA,14-09-2021 07:24,,,1.43768E+018,NA,"<a href=""https://www.tweetsuite.com/"" rel=""nofollow"">Tweet Suite</a>",RevolutionsCen,0,FALSE,FALSE
FALSE,0,NA,14-09-2021 05:54,,,1.43766E+018,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Amarsaini636765,3,TRUE,FALSE
FALSE,0,NA,14-09-2021 05:53,,,1.43766E+018,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",vplobo1969,3,TRUE,FALSE
FALSE,1,NA,14-09-2021 05:53,,,1.43766E+018,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",vplobo1969,3,FALSE,FALSE
FALSE,1,NA,14-09-2021 05:36,,,1.43765E+018,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",ShaikhNabi1,0,FALSE,FALSE
